customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value
CUST00024,Qatari,Corporate,High,93,0.35,Nissan,Patrol,Base,2023,V8,Petrol,Black,225768,2023-01-10,Online,4,216737.28,Cash,125795,49,Slow-Moving,0.19,35941,3700,Mixed,2024-05-20,1,2708,26,Under Warranty,4606,1924,520347
CUST00025,Pakistani,Corporate,High,79,0.1,Mercedes,G-Class,Platinum,2021,Inline-4,Hybrid,Black,437563,2024-01-26,Fleet Sales,3,424436.11,Lease,145212,44,Slow-Moving,0.11,32214,2734,Highway,2025-01-27,4,1575,28,Out of Warranty,4936,6029,561211
CUST00026,Qatari,Corporate,Medium,61,0.44,Lexus,RX350,Platinum,2022,Inline-4,Petrol,Black,112546,2023-12-31,Online,8,103542.32,Cash,65164,175,Medium-Moving,0.24,12331,4839,Highway,2025-08-03,8,2838,95,Out of Warranty,20529,4135,201861
CUST00027,Filipino,Individual,High,45,0.28,Nissan,Altima,Base,2024,V6,Petrol,Gray,247151,2023-01-19,Showroom,6,232321.94,Bank Loan,134833,144,Fast-Moving,0.22,78783,3088,City,2023-03-17,1,3678,109,Under Warranty,9326,5546,93012
CUST00028,Jordanian,Individual,High,45,0.12,BMW,X5,Base,2023,Inline-4,Hybrid,Gray,147640,2023-03-16,Showroom,8,135828.8,Bank Loan,89071,57,Slow-Moving,0.1,28030,2127,City,2024-09-16,7,2585,49,Out of Warranty,20806,9208,401287
CUST00029,Egyptian,Corporate,High,64,0.17,Mercedes,E-Class,Base,2023,V8,Petrol,Gray,343841,2022-12-17,Fleet Sales,0,343841.0,Bank Loan,85327,46,Fast-Moving,0.21,7758,4589,Mixed,2023-03-04,4,3954,106,Out of Warranty,12416,5262,358326
CUST00030,Egyptian,Fleet,Medium,83,0.44,Lexus,LX600,Platinum,2021,V8,Hybrid,Black,397675,2023-05-08,Online,1,393698.25,Lease,168534,158,Slow-Moving,0.08,7025,3835,Highway,2023-10-05,1,2253,73,Out of Warranty,7077,5994,249586
CUST00031,Jordanian,Corporate,Medium,95,0.19,BMW,X7,Base,2022,Inline-4,Petrol,White,175347,2023-11-02,Showroom,1,173593.53,Bank Loan,75839,163,Slow-Moving,0.18,71208,5690,Mixed,2025-01-31,4,1970,94,Out of Warranty,6440,662,251147
CUST00032,Pakistani,Fleet,Medium,40,0.38,Nissan,Altima,Premium,2021,V6,Petrol,Silver,215236,2024-01-08,Online,1,213083.64,Bank Loan,147456,139,Fast-Moving,0.24,36858,3756,Highway,2025-04-20,8,1203,52,Out of Warranty,16413,921,347162
CUST00033,Pakistani,Fleet,Low,45,0.24,BMW,X5,Base,2021,Inline-4,Hybrid,White,401075,2022-01-25,Fleet Sales,2,393053.5,Lease,266479,43,Slow-Moving,0.24,66673,925,Highway,2022-04-11,2,2718,6,Under Warranty,36,8026,372040
CUST00034,British,Fleet,Medium,99,0.12,Mercedes,G-Class,Platinum,2021,Inline-4,Petrol,Black,222860,2024-02-25,Showroom,6,209488.4,Cash,82391,35,Slow-Moving,0.23,114480,1121,Mixed,2025-10-31,5,1909,34,Under Warranty,21209,4797,369961
CUST00035,Egyptian,Corporate,High,54,0.19,Lexus,LX600,Mid,2021,Inline-4,Petrol,Blue,208268,2023-02-18,Showroom,7,193689.24,Lease,114912,77,Slow-Moving,0.1,114466,4504,City,2025-01-01,3,3557,67,Out of Warranty,20678,7900,270255
CUST00036,Filipino,Corporate,Medium,88,0.44,BMW,X5,Premium,2022,Inline-4,Hybrid,Black,428481,2022-01-04,Fleet Sales,2,419911.38,Cash,210316,96,Fast-Moving,0.24,92550,735,Highway,2023-11-03,7,1502,110,Out of Warranty,14271,4077,121716
CUST00037,Jordanian,Corporate,Medium,46,0.28,Nissan,Altima,Premium,2024,Inline-4,Petrol,Gray,87641,2024-04-22,Fleet Sales,7,81506.13,Cash,39927,168,Medium-Moving,0.22,71435,513,Mixed,2024-12-27,8,2706,101,Out of Warranty,8815,8799,514966
CUST00038,Jordanian,Fleet,Low,99,0.12,Mercedes,G-Class,Base,2024,V6,Petrol,Silver,336258,2023-06-02,Fleet Sales,0,336258.0,Bank Loan,132210,92,Fast-Moving,0.15,54557,2582,City,2024-03-18,5,1368,87,Out of Warranty,17693,3421,561279
CUST00039,Filipino,Fleet,Low,80,0.17,Lexus,RX350,Mid,2024,Inline-4,Hybrid,Gray,224094,2023-12-09,Fleet Sales,8,206166.48,Cash,126165,151,Fast-Moving,0.23,71142,829,Mixed,2025-04-15,1,3432,104,Out of Warranty,8359,13813,381943
CUST00040,Egyptian,Individual,Low,85,0.3,Lexus,LX600,Mid,2024,V6,Hybrid,Black,280002,2023-07-09,Fleet Sales,8,257601.84,Bank Loan,179207,68,Slow-Moving,0.1,106955,2548,City,2023-10-13,1,2099,20,Out of Warranty,18268,8815,432037
CUST00041,Pakistani,Individual,High,40,0.08,BMW,X5,Base,2021,V8,Petrol,Black,281398,2023-05-18,Online,4,270142.08,Bank Loan,108096,141,Slow-Moving,0.08,44009,3935,Highway,2024-07-29,5,3101,102,Under Warranty,11277,14991,108467
CUST00042,Qatari,Fleet,High,48,0.17,Toyota,Corolla,Base,2022,Inline-4,Petrol,Gray,93837,2022-03-17,Online,6,88206.78,Cash,62524,102,Slow-Moving,0.1,34184,4863,Highway,2023-07-13,4,2043,103,Out of Warranty,674,6183,133000
CUST00043,Jordanian,Corporate,Low,59,0.24,Nissan,Patrol,Premium,2023,Inline-4,Hybrid,Blue,185770,2023-09-11,Fleet Sales,3,180196.9,Bank Loan,38407,66,Medium-Moving,0.21,90975,767,Mixed,2024-07-19,0,1370,70,Under Warranty,22216,6758,133730
CUST00044,Indian,Individual,High,56,0.24,BMW,X7,Premium,2022,Inline-4,Petrol,Black,229107,2024-02-06,Showroom,1,226815.93,Lease,79770,98,Slow-Moving,0.23,59296,1838,Mixed,2025-03-17,8,2517,118,Under Warranty,15519,7511,416450
CUST00045,Indian,Fleet,Low,76,0.2,Lexus,RX350,Premium,2022,V6,Petrol,White,330642,2022-06-18,Showroom,8,304190.64,Cash,180699,87,Slow-Moving,0.16,96219,1771,Highway,2022-11-07,8,3531,43,Out of Warranty,10906,4541,538650
CUST00046,Egyptian,Corporate,Low,97,0.38,BMW,X5,Platinum,2022,V6,Petrol,Black,438909,2022-10-07,Online,2,430130.82,Cash,290898,80,Slow-Moving,0.12,32936,3207,Mixed,2024-06-13,7,3740,98,Under Warranty,21893,12967,228443
CUST00047,Filipino,Corporate,Low,78,0.35,Toyota,Land Cruiser,Premium,2021,Inline-4,Petrol,White,105647,2022-08-23,Fleet Sales,3,102477.59,Lease,29266,74,Slow-Moving,0.23,36377,3472,Mixed,2023-02-07,5,3206,101,Under Warranty,7300,7455,527405
CUST00048,Indian,Corporate,High,84,0.29,Lexus,LX600,Base,2024,V6,Hybrid,Blue,148170,2023-09-16,Showroom,1,146688.3,Lease,56530,140,Fast-Moving,0.22,46296,2045,City,2024-03-05,4,2872,45,Out of Warranty,14945,9015,287345
CUST00049,British,Individual,High,49,0.2,Mercedes,E-Class,Mid,2022,V6,Petrol,White,392692,2024-05-26,Fleet Sales,1,388765.08,Lease,63929,101,Slow-Moving,0.12,100084,1090,Highway,2026-04-13,0,3900,11,Out of Warranty,6535,13407,378125
CUST00050,Pakistani,Fleet,Medium,61,0.32,BMW,X5,Base,2023,Inline-4,Hybrid,Black,446725,2024-01-25,Fleet Sales,1,442257.75,Bank Loan,196082,103,Slow-Moving,0.25,46159,667,Highway,2024-11-27,2,1530,113,Under Warranty,17468,1646,186678
CUST00051,Qatari,Corporate,Medium,98,0.2,Mercedes,G-Class,Platinum,2024,V8,Hybrid,White,377572,2022-08-26,Online,1,373796.28,Lease,238838,99,Slow-Moving,0.25,107036,5751,City,2023-03-25,2,2572,39,Under Warranty,555,8064,131184
CUST00052,Jordanian,Fleet,High,50,0.23,Toyota,Camry,Platinum,2024,Inline-4,Petrol,Blue,265989,2023-08-28,Showroom,6,250029.66,Bank Loan,157657,48,Slow-Moving,0.23,8055,2899,Highway,2024-09-28,2,2527,110,Out of Warranty,14377,11358,182382
CUST00053,Jordanian,Individual,Low,100,0.28,Toyota,Camry,Mid,2024,V6,Petrol,White,267558,2022-01-04,Showroom,5,254180.1,Bank Loan,82923,68,Medium-Moving,0.12,117714,2595,Mixed,2023-11-21,5,2593,8,Under Warranty,4193,13452,452252
CUST00054,Indian,Corporate,High,68,0.13,Toyota,Corolla,Mid,2024,V6,Hybrid,Blue,424032,2023-10-08,Online,8,390109.44,Cash,79280,53,Fast-Moving,0.18,58657,3680,City,2024-10-19,6,1229,25,Under Warranty,22822,9411,356572
CUST00055,British,Fleet,Medium,66,0.22,Nissan,Altima,Premium,2023,V8,Petrol,Blue,135083,2023-10-03,Fleet Sales,6,126978.02,Cash,4771,139,Medium-Moving,0.17,100331,2223,Mixed,2023-11-25,0,2165,50,Under Warranty,20669,14476,574085
CUST00056,Egyptian,Individual,Medium,72,0.34,BMW,X5,Premium,2023,V8,Hybrid,Blue,414810,2022-05-29,Fleet Sales,5,394069.5,Bank Loan,313171,103,Medium-Moving,0.21,52163,3837,Mixed,2022-09-26,4,2477,10,Out of Warranty,24877,994,588572
CUST00057,British,Individual,High,68,0.09,Nissan,Patrol,Mid,2023,V6,Petrol,Black,303084,2022-04-16,Online,6,284898.96,Lease,11702,87,Fast-Moving,0.12,89043,1120,Highway,2023-09-10,3,2126,74,Under Warranty,20845,7022,125479
CUST00058,Pakistani,Corporate,Medium,93,0.19,Mercedes,G-Class,Platinum,2021,V8,Hybrid,Black,88438,2022-01-14,Online,1,87553.62,Cash,67104,147,Medium-Moving,0.19,110760,3431,Highway,2023-11-11,3,2289,75,Out of Warranty,15045,580,370093
CUST00059,Jordanian,Individual,Medium,77,0.29,BMW,X7,Platinum,2022,V6,Petrol,Blue,363096,2023-06-29,Fleet Sales,2,355834.08,Lease,192953,169,Medium-Moving,0.12,7842,3996,City,2025-02-14,7,2856,120,Under Warranty,1387,12566,277604
CUST00060,Indian,Individual,High,87,0.22,Nissan,Altima,Mid,2022,V6,Hybrid,Black,221414,2022-06-22,Online,3,214771.58,Lease,83475,45,Medium-Moving,0.19,11590,564,City,2023-10-19,1,2127,64,Under Warranty,15027,14672,266289
CUST00061,Jordanian,Fleet,High,99,0.08,BMW,X5,Mid,2024,Inline-4,Hybrid,Silver,326097,2023-09-04,Online,3,316314.09,Lease,202037,72,Slow-Moving,0.19,9525,5216,City,2025-02-04,1,2657,7,Under Warranty,9502,14887,322686
CUST00062,Pakistani,Individual,High,45,0.12,Mercedes,E-Class,Base,2024,V8,Hybrid,Black,217869,2023-04-24,Online,7,202618.17,Cash,93566,164,Fast-Moving,0.14,110386,2167,Mixed,2024-11-30,1,2365,50,Under Warranty,10894,9122,476905
CUST00063,Egyptian,Corporate,Medium,77,0.21,BMW,X7,Mid,2021,V8,Petrol,Silver,437539,2022-02-01,Fleet Sales,2,428788.22,Cash,248608,116,Medium-Moving,0.08,67596,4125,Highway,2023-11-06,1,2689,75,Out of Warranty,1188,11819,580410
CUST00064,Filipino,Fleet,High,83,0.15,Lexus,LX600,Premium,2024,V8,Hybrid,Blue,258923,2024-03-10,Fleet Sales,4,248566.08,Lease,110957,137,Fast-Moving,0.1,72196,1827,City,2024-07-14,6,3512,83,Under Warranty,16646,3099,405581
CUST00065,British,Corporate,High,46,0.28,Nissan,Altima,Base,2021,V6,Petrol,Blue,154844,2023-05-28,Online,0,154844.0,Bank Loan,11386,121,Medium-Moving,0.2,14384,2947,Highway,2023-08-08,2,3023,104,Out of Warranty,250,2599,488752
CUST00066,Qatari,Corporate,High,47,0.38,Toyota,Corolla,Mid,2024,Inline-4,Hybrid,Blue,225063,2023-10-06,Online,7,209308.59,Bank Loan,65895,129,Slow-Moving,0.11,20624,2422,Highway,2024-07-03,7,1476,44,Out of Warranty,18772,14548,529454
CUST00067,Qatari,Corporate,Medium,93,0.15,Lexus,LX600,Mid,2021,V8,Hybrid,Blue,123538,2022-01-02,Showroom,8,113654.96,Lease,38951,59,Medium-Moving,0.21,92423,3011,Highway,2023-05-01,2,3621,5,Out of Warranty,1359,10117,427285
CUST00068,British,Fleet,High,45,0.3,Mercedes,E-Class,Premium,2024,Inline-4,Hybrid,White,288649,2022-09-22,Showroom,1,285762.51,Lease,48391,76,Medium-Moving,0.18,59784,2681,Highway,2024-03-30,1,1856,61,Under Warranty,4847,2901,394388
CUST00069,Egyptian,Corporate,Low,93,0.4,Nissan,Altima,Mid,2023,V6,Petrol,Blue,173734,2022-01-17,Showroom,3,168521.98,Bank Loan,52197,138,Medium-Moving,0.24,67740,2971,Highway,2022-05-30,2,3211,6,Out of Warranty,14603,14408,356874
CUST00070,Filipino,Individual,High,77,0.45,Toyota,Camry,Base,2021,V6,Hybrid,White,333335,2024-05-01,Online,6,313334.9,Cash,108088,14,Medium-Moving,0.1,14212,5138,City,2024-06-18,7,976,71,Under Warranty,3469,9058,395367
CUST00071,Indian,Fleet,Low,86,0.37,BMW,X5,Premium,2021,V8,Petrol,Silver,348413,2023-02-12,Online,1,344928.87,Bank Loan,213920,34,Fast-Moving,0.19,19511,2612,Highway,2023-11-13,2,1853,88,Out of Warranty,14660,10129,433678
CUST00072,Qatari,Corporate,High,58,0.43,BMW,X7,Premium,2024,V8,Petrol,Black,380643,2023-07-25,Online,0,380643.0,Cash,132962,103,Fast-Moving,0.23,81354,5666,City,2025-05-26,4,984,22,Out of Warranty,21420,13685,581083
CUST00073,British,Fleet,Medium,61,0.14,Mercedes,E-Class,Platinum,2024,V8,Hybrid,Gray,419102,2023-09-27,Showroom,5,398146.9,Cash,302605,137,Medium-Moving,0.09,53291,501,Highway,2024-04-04,8,3836,85,Out of Warranty,12040,12832,397332
CUST00074,Jordanian,Fleet,Medium,46,0.36,Lexus,LX600,Platinum,2022,V8,Hybrid,White,369909,2023-12-24,Fleet Sales,6,347714.46,Lease,129208,151,Medium-Moving,0.12,80754,5619,City,2025-09-21,2,3331,97,Out of Warranty,4252,10650,249788
CUST00075,Filipino,Individual,Low,82,0.07,Mercedes,G-Class,Mid,2022,Inline-4,Petrol,Black,199997,2023-03-11,Showroom,7,185997.21,Cash,131747,34,Fast-Moving,0.12,103953,3317,Highway,2023-11-20,5,2230,17,Out of Warranty,22567,862,390207
CUST00076,Indian,Fleet,Low,87,0.35,BMW,X7,Mid,2022,V6,Hybrid,Gray,284277,2022-04-06,Online,2,278591.46,Cash,63398,175,Slow-Moving,0.21,110764,5671,City,2024-01-02,1,1078,45,Out of Warranty,12586,7319,583030
CUST00077,Filipino,Corporate,Medium,93,0.33,Nissan,Patrol,Mid,2022,Inline-4,Hybrid,Blue,125278,2024-06-04,Fleet Sales,5,119014.1,Lease,31016,64,Slow-Moving,0.14,11556,5944,Highway,2026-01-10,3,3544,64,Out of Warranty,662,10505,97532
CUST00078,Egyptian,Fleet,Low,42,0.09,Lexus,LX600,Base,2023,Inline-4,Hybrid,Gray,320349,2024-03-20,Online,5,304331.55,Cash,105839,160,Slow-Moving,0.12,61640,1931,City,2024-04-19,7,3271,43,Out of Warranty,6484,14597,197479
CUST00079,Pakistani,Individual,Low,52,0.33,BMW,X5,Platinum,2023,V6,Hybrid,Blue,338326,2024-02-29,Fleet Sales,5,321409.7,Cash,119438,85,Slow-Moving,0.2,100371,1465,Mixed,2024-11-12,4,1079,107,Out of Warranty,23597,1564,578361
CUST00080,British,Individual,High,96,0.12,BMW,X7,Platinum,2022,V8,Petrol,Silver,147039,2022-07-08,Showroom,5,139687.05,Cash,51327,128,Slow-Moving,0.11,5031,3236,Highway,2023-03-08,4,2810,53,Out of Warranty,17774,5884,391173
CUST00081,Indian,Fleet,Medium,69,0.36,Lexus,LX600,Premium,2023,Inline-4,Petrol,Black,196037,2023-02-19,Fleet Sales,4,188195.52,Cash,11733,140,Slow-Moving,0.22,73316,5017,Highway,2024-04-28,3,2798,83,Under Warranty,24548,11058,194624
CUST00082,Pakistani,Corporate,High,100,0.11,Mercedes,E-Class,Base,2021,V8,Petrol,Black,189181,2022-10-07,Showroom,1,187289.19,Cash,77504,64,Fast-Moving,0.11,6414,5274,Mixed,2023-03-05,8,2661,15,Under Warranty,18403,10553,425608
CUST00083,Indian,Fleet,Low,70,0.13,Toyota,Camry,Mid,2024,V8,Petrol,Blue,113509,2023-04-23,Fleet Sales,2,111238.82,Cash,76417,61,Medium-Moving,0.24,69508,1540,City,2024-09-11,3,2194,19,Under Warranty,22780,3550,254470
CUST00084,Qatari,Individual,Low,72,0.42,Toyota,Camry,Base,2022,V6,Petrol,Blue,330240,2024-01-01,Showroom,3,320332.8,Lease,238133,130,Medium-Moving,0.12,64874,1049,City,2024-08-25,3,911,56,Out of Warranty,6622,3719,360261
CUST00085,Qatari,Fleet,Medium,95,0.24,Nissan,Altima,Mid,2021,V8,Hybrid,White,410003,2022-10-10,Showroom,0,410003.0,Cash,55105,92,Slow-Moving,0.24,10292,4522,Mixed,2023-10-15,2,2558,79,Out of Warranty,17782,2825,469111
CUST00086,Jordanian,Fleet,Low,91,0.09,Lexus,LX600,Platinum,2021,V8,Hybrid,Blue,116521,2024-01-11,Online,7,108364.53,Bank Loan,15928,129,Fast-Moving,0.21,111266,2911,Mixed,2025-07-29,7,1574,78,Out of Warranty,13758,2315,268791
CUST00087,Egyptian,Fleet,High,56,0.29,Nissan,Altima,Premium,2023,V6,Hybrid,Silver,414517,2024-05-16,Online,1,410371.83,Cash,95681,141,Fast-Moving,0.23,97665,3580,Highway,2025-10-07,0,1741,40,Out of Warranty,11220,628,277335
CUST00088,Filipino,Individual,Low,89,0.44,Toyota,Corolla,Premium,2021,Inline-4,Petrol,Gray,146738,2023-06-08,Fleet Sales,5,139401.1,Cash,56386,77,Medium-Moving,0.16,92797,2501,City,2023-11-03,7,1511,50,Under Warranty,15660,3092,273777
CUST00089,Qatari,Individual,Medium,92,0.45,Toyota,Land Cruiser,Mid,2021,V8,Hybrid,Black,342768,2022-10-28,Online,5,325629.6,Cash,213974,56,Medium-Moving,0.22,36014,1333,Highway,2024-03-21,7,2023,83,Out of Warranty,10088,2751,513346
CUST00090,Jordanian,Corporate,Low,96,0.18,Toyota,Corolla,Premium,2021,V6,Petrol,Silver,163924,2023-03-04,Online,3,159006.28,Cash,13893,84,Slow-Moving,0.17,87014,1520,City,2024-10-13,1,1181,16,Out of Warranty,20215,12523,196121
CUST00091,Qatari,Fleet,Low,50,0.07,Mercedes,G-Class,Premium,2021,V8,Petrol,Gray,210061,2024-01-28,Showroom,3,203759.17,Cash,97684,179,Fast-Moving,0.14,113431,1709,Mixed,2025-08-02,2,2115,46,Under Warranty,22271,9843,423442
CUST00092,Filipino,Fleet,Low,82,0.44,Toyota,Land Cruiser,Mid,2021,V6,Hybrid,Blue,209181,2023-09-18,Showroom,3,202905.57,Bank Loan,118433,154,Medium-Moving,0.22,89461,2615,Mixed,2024-05-08,3,3926,56,Out of Warranty,13827,5183,343209
CUST00093,Egyptian,Individual,Low,84,0.1,Mercedes,E-Class,Base,2022,V6,Hybrid,White,415671,2023-08-29,Showroom,6,390730.74,Lease,83382,73,Fast-Moving,0.19,88730,5755,Highway,2025-07-13,2,802,92,Out of Warranty,7272,4949,281307
CUST00094,Indian,Fleet,Medium,72,0.09,BMW,X5,Mid,2024,Inline-4,Petrol,Black,118776,2023-01-07,Online,5,112837.2,Cash,44953,92,Slow-Moving,0.14,48984,2881,Highway,2024-04-30,0,3812,8,Under Warranty,4435,3878,365730
CUST00095,Jordanian,Fleet,Medium,58,0.11,Lexus,RX350,Base,2021,V8,Hybrid,Silver,377086,2024-03-05,Fleet Sales,7,350689.98,Lease,74762,134,Medium-Moving,0.16,97373,5069,City,2025-07-20,3,2917,11,Out of Warranty,3461,12514,442506
CUST00096,Egyptian,Fleet,Medium,87,0.22,Lexus,LX600,Mid,2023,V8,Hybrid,Black,285929,2022-01-23,Online,3,277351.13,Lease,41494,53,Slow-Moving,0.24,38623,4229,Highway,2023-08-17,3,1603,41,Under Warranty,9855,12752,372542
CUST00097,Pakistani,Individual,High,88,0.33,Toyota,Land Cruiser,Premium,2022,V6,Hybrid,Gray,374984,2024-02-24,Showroom,7,348735.12,Lease,106180,108,Fast-Moving,0.12,28619,5362,City,2025-02-08,3,2710,54,Under Warranty,1323,14016,498992
CUST00098,Jordanian,Individual,Medium,69,0.34,Mercedes,E-Class,Platinum,2022,Inline-4,Petrol,Blue,380404,2023-08-15,Showroom,2,372795.92,Cash,201884,143,Slow-Moving,0.21,84176,2483,Mixed,2025-05-08,7,2895,108,Out of Warranty,6195,935,407391
