customer_id,nationality,customer_type,income_band,loyalty_score,churn_risk_score,brand,model,trim,model_year,engine_type,fuel_type,color,vehicle_price,sale_date,sale_channel,discount_percentage,final_sale_price,payment_type,loan_amount,stock_days,inventory_status,depreciation_rate,mileage,avg_monthly_km,driving_pattern,last_service_date,service_count_last_12_months,avg_service_cost,next_service_due_days,warranty_status,service_revenue_to_date,parts_revenue_to_date,total_customer_lifetime_value,days_since_purchase,days_since_last_service,vehicle_age_years,is_under_warranty,revenue_per_service,total_revenue,customer_segment,segment_name,will_churn,brand_encoded,customer_type_encoded,income_band_encoded,churn_prediction,churn_probability,predicted_clv,clv_growth_potential,service_overdue,service_due_soon
CUST00018,Egyptian,Fleet,Medium,88,0.3,Mercedes,G-Class,Mid,2022,Inline-4,Hybrid,Silver,194163,2022-12-12,Online,3,188338.11,Cash,18407,56,Fast-Moving,0.08,22249,5238,Mixed,2024-02-09,0,3626,24,Under Warranty,16583,13868,247109,1123,699,4,1,16583.0,30451,2,High-Risk Churners,0,2,1,2,0,0.20377727,326880.3028197602,79771.30281976023,False,True
CUST00019,British,Corporate,High,91,0.42,BMW,X7,Platinum,2023,V6,Petrol,Silver,80488,2022-10-25,Online,4,77268.48,Lease,57838,148,Medium-Moving,0.18,99899,3437,City,2024-08-28,0,2713,9,Out of Warranty,16993,8051,553595,1171,498,3,0,16993.0,25044,4,VIP Elite,1,0,0,0,0,0.29771927,411024.8616879536,-142570.13831204642,False,True
CUST00020,Filipino,Fleet,High,67,0.33,BMW,X7,Premium,2021,Inline-4,Hybrid,Gray,440132,2022-11-27,Showroom,8,404921.44,Cash,232542,171,Fast-Moving,0.13,104560,2892,City,2023-01-19,2,925,34,Under Warranty,9544,11127,244231,1138,1085,5,1,3181.3333333333335,20671,4,VIP Elite,0,0,1,0,0,0.2378527,304137.5418907682,59906.54189076822,False,False
CUST00021,British,Corporate,High,60,0.06,Nissan,Altima,Base,2023,V6,Petrol,White,436642,2022-08-05,Showroom,5,414809.9,Cash,312298,96,Fast-Moving,0.1,52342,2528,City,2023-03-23,0,1921,6,Under Warranty,22829,6581,489389,1252,1022,3,1,22829.0,29410,3,Service Champions,0,3,0,0,0,0.10680244,311752.332510869,-177636.66748913098,False,True
CUST00022,Filipino,Corporate,Medium,89,0.06,BMW,X7,Platinum,2023,V6,Petrol,Black,381289,2023-12-26,Showroom,4,366037.44,Bank Loan,8814,13,Slow-Moving,0.24,19660,4265,Highway,2024-07-07,3,1498,108,Under Warranty,16142,5662,243054,744,550,3,1,4035.5,21804,2,High-Risk Churners,0,0,0,2,0,0.2677888,353647.7265360044,110593.7265360044,False,False
CUST00023,Filipino,Fleet,High,66,0.42,Nissan,Altima,Premium,2022,Inline-4,Hybrid,Black,320639,2023-03-28,Fleet Sales,0,320639.0,Cash,150121,18,Medium-Moving,0.24,119631,5860,Mixed,2024-01-21,2,3809,58,Out of Warranty,16043,311,510117,1017,718,4,0,5347.666666666667,16354,1,Premium Loyalists,1,3,1,0,0,0.2929228,364119.40854896436,-145997.59145103564,False,False
CUST00024,Qatari,Corporate,High,93,0.35,Nissan,Patrol,Base,2023,V8,Petrol,Black,225768,2023-01-10,Online,4,216737.28,Cash,125795,49,Slow-Moving,0.19,35941,3700,Mixed,2024-05-20,1,2708,26,Under Warranty,4606,1924,520347,1094,598,3,1,2303.0,6530,4,VIP Elite,0,3,0,0,0,0.26216632,374314.9363110777,-146032.06368892232,False,True
CUST00025,Pakistani,Corporate,High,79,0.1,Mercedes,G-Class,Platinum,2021,Inline-4,Hybrid,Black,437563,2024-01-26,Fleet Sales,3,424436.11,Lease,145212,44,Slow-Moving,0.11,32214,2734,Highway,2025-01-27,4,1575,28,Out of Warranty,4936,6029,561211,713,346,5,0,987.2,10965,3,Service Champions,0,2,0,0,0,0.19714807,385730.4620959479,-175480.53790405212,False,True
CUST00026,Qatari,Corporate,Medium,61,0.44,Lexus,RX350,Platinum,2022,Inline-4,Petrol,Black,112546,2023-12-31,Online,8,103542.32,Cash,65164,175,Medium-Moving,0.24,12331,4839,Highway,2025-08-03,8,2838,95,Out of Warranty,20529,4135,201861,739,158,4,0,2281.0,24664,1,Premium Loyalists,1,1,0,2,0,0.3707589,338579.58035961585,136718.58035961585,False,False
CUST00027,Filipino,Individual,High,45,0.28,Nissan,Altima,Base,2024,V6,Petrol,Gray,247151,2023-01-19,Showroom,6,232321.94,Bank Loan,134833,144,Fast-Moving,0.22,78783,3088,City,2023-03-17,1,3678,109,Under Warranty,9326,5546,93012,1085,1028,2,1,4663.0,14872,0,Budget Conscious,0,3,2,0,0,0.0924954,299935.4987860605,206923.4987860605,False,False
CUST00028,Jordanian,Individual,High,45,0.12,BMW,X5,Base,2023,Inline-4,Hybrid,Gray,147640,2023-03-16,Showroom,8,135828.8,Bank Loan,89071,57,Slow-Moving,0.1,28030,2127,City,2024-09-16,7,2585,49,Out of Warranty,20806,9208,401287,1029,479,3,0,2600.75,30014,0,Budget Conscious,0,0,2,0,0,0.24840246,340740.4276161383,-60546.5723838617,False,False
CUST00029,Egyptian,Corporate,High,64,0.17,Mercedes,E-Class,Base,2023,V8,Petrol,Gray,343841,2022-12-17,Fleet Sales,0,343841.0,Bank Loan,85327,46,Fast-Moving,0.21,7758,4589,Mixed,2023-03-04,4,3954,106,Out of Warranty,12416,5262,358326,1118,1041,3,0,2483.2,17678,2,High-Risk Churners,0,2,0,0,0,0.24020208,322253.4820981096,-36072.51790189039,False,False
CUST00030,Egyptian,Fleet,Medium,83,0.44,Lexus,LX600,Platinum,2021,V8,Hybrid,Black,397675,2023-05-08,Online,1,393698.25,Lease,168534,158,Slow-Moving,0.08,7025,3835,Highway,2023-10-05,1,2253,73,Out of Warranty,7077,5994,249586,976,826,5,0,3538.5,13071,4,VIP Elite,1,1,1,2,0,0.2782675,344559.52998173854,94973.52998173854,False,False
CUST00031,Jordanian,Corporate,Medium,95,0.19,BMW,X7,Base,2022,Inline-4,Petrol,White,175347,2023-11-02,Showroom,1,173593.53,Bank Loan,75839,163,Slow-Moving,0.18,71208,5690,Mixed,2025-01-31,4,1970,94,Out of Warranty,6440,662,251147,798,342,4,0,1288.0,7102,2,High-Risk Churners,0,0,0,2,0,0.22244638,300923.8849418861,49776.88494188612,False,False
CUST00032,Pakistani,Fleet,Medium,40,0.38,Nissan,Altima,Premium,2021,V6,Petrol,Silver,215236,2024-01-08,Online,1,213083.64,Bank Loan,147456,139,Fast-Moving,0.24,36858,3756,Highway,2025-04-20,8,1203,52,Out of Warranty,16413,921,347162,731,263,5,0,1823.6666666666667,17334,1,Premium Loyalists,1,3,1,2,0,0.28953904,350277.14973137324,3115.14973137324,False,False
CUST00033,Pakistani,Fleet,Low,45,0.24,BMW,X5,Base,2021,Inline-4,Hybrid,White,401075,2022-01-25,Fleet Sales,2,393053.5,Lease,266479,43,Slow-Moving,0.24,66673,925,Highway,2022-04-11,2,2718,6,Under Warranty,36,8026,372040,1444,1368,5,1,12.0,8062,0,Budget Conscious,0,0,1,1,0,0.16121605,370252.4226892588,-1787.5773107411806,False,True
CUST00034,British,Fleet,Medium,99,0.12,Mercedes,G-Class,Platinum,2021,Inline-4,Petrol,Black,222860,2024-02-25,Showroom,6,209488.4,Cash,82391,35,Slow-Moving,0.23,114480,1121,Mixed,2025-10-31,5,1909,34,Under Warranty,21209,4797,369961,683,69,5,1,3534.8333333333335,26006,3,Service Champions,0,2,1,2,0,0.13974547,332538.3688512675,-37422.6311487325,False,False
CUST00035,Egyptian,Corporate,High,54,0.19,Lexus,LX600,Mid,2021,Inline-4,Petrol,Blue,208268,2023-02-18,Showroom,7,193689.24,Lease,114912,77,Slow-Moving,0.1,114466,4504,City,2025-01-01,3,3557,67,Out of Warranty,20678,7900,270255,1055,372,5,0,5169.5,28578,2,High-Risk Churners,0,1,0,0,0,0.24812388,330676.9565328346,60421.95653283462,False,False
CUST00036,Filipino,Corporate,Medium,88,0.44,BMW,X5,Premium,2022,Inline-4,Hybrid,Black,428481,2022-01-04,Fleet Sales,2,419911.38,Cash,210316,96,Fast-Moving,0.24,92550,735,Highway,2023-11-03,7,1502,110,Out of Warranty,14271,4077,121716,1465,797,4,0,1783.875,18348,4,VIP Elite,1,0,0,2,0,0.3770125,317504.81327219604,195788.81327219604,False,False
CUST00037,Jordanian,Corporate,Medium,46,0.28,Nissan,Altima,Premium,2024,Inline-4,Petrol,Gray,87641,2024-04-22,Fleet Sales,7,81506.13,Cash,39927,168,Medium-Moving,0.22,71435,513,Mixed,2024-12-27,8,2706,101,Out of Warranty,8815,8799,514966,626,377,2,0,979.4444444444445,17614,0,Budget Conscious,0,3,0,2,0,0.08332109,377137.4964592671,-137828.5035407329,False,False
CUST00038,Jordanian,Fleet,Low,99,0.12,Mercedes,G-Class,Base,2024,V6,Petrol,Silver,336258,2023-06-02,Fleet Sales,0,336258.0,Bank Loan,132210,92,Fast-Moving,0.15,54557,2582,City,2024-03-18,5,1368,87,Out of Warranty,17693,3421,561279,951,661,2,0,2948.8333333333335,21114,3,Service Champions,0,2,1,1,0,0.3237692,356181.18824735476,-205097.81175264524,False,False
CUST00039,Filipino,Fleet,Low,80,0.17,Lexus,RX350,Mid,2024,Inline-4,Hybrid,Gray,224094,2023-12-09,Fleet Sales,8,206166.48,Cash,126165,151,Fast-Moving,0.23,71142,829,Mixed,2025-04-15,1,3432,104,Out of Warranty,8359,13813,381943,761,268,2,0,4179.5,22172,0,Budget Conscious,0,1,1,1,0,0.22195236,375572.51166787103,-6370.488332128967,False,False
CUST00040,Egyptian,Individual,Low,85,0.3,Lexus,LX600,Mid,2024,V6,Hybrid,Black,280002,2023-07-09,Fleet Sales,8,257601.84,Bank Loan,179207,68,Slow-Moving,0.1,106955,2548,City,2023-10-13,1,2099,20,Out of Warranty,18268,8815,432037,914,818,2,0,9134.0,27083,4,VIP Elite,0,1,2,1,0,0.15278943,361013.6841460944,-71023.31585390557,False,True
CUST00041,Pakistani,Individual,High,40,0.08,BMW,X5,Base,2021,V8,Petrol,Black,281398,2023-05-18,Online,4,270142.08,Bank Loan,108096,141,Slow-Moving,0.08,44009,3935,Highway,2024-07-29,5,3101,102,Under Warranty,11277,14991,108467,966,528,5,1,1879.5,26268,2,High-Risk Churners,0,0,2,0,0,0.13459986,279428.0607752958,170961.06077529577,False,False
CUST00042,Qatari,Fleet,High,48,0.17,Toyota,Corolla,Base,2022,Inline-4,Petrol,Gray,93837,2022-03-17,Online,6,88206.78,Cash,62524,102,Slow-Moving,0.1,34184,4863,Highway,2023-07-13,4,2043,103,Out of Warranty,674,6183,133000,1393,910,4,0,134.8,6857,2,High-Risk Churners,0,4,1,0,0,0.29633573,299849.32207501354,166849.32207501354,False,False
CUST00043,Jordanian,Corporate,Low,59,0.24,Nissan,Patrol,Premium,2023,Inline-4,Hybrid,Blue,185770,2023-09-11,Fleet Sales,3,180196.9,Bank Loan,38407,66,Medium-Moving,0.21,90975,767,Mixed,2024-07-19,0,1370,70,Under Warranty,22216,6758,133730,850,538,3,1,22216.0,28974,0,Budget Conscious,0,3,0,1,0,0.11137322,342491.6910789948,208761.69107899477,False,False
CUST00044,Indian,Individual,High,56,0.24,BMW,X7,Premium,2022,Inline-4,Petrol,Black,229107,2024-02-06,Showroom,1,226815.93,Lease,79770,98,Slow-Moving,0.23,59296,1838,Mixed,2025-03-17,8,2517,118,Under Warranty,15519,7511,416450,702,297,4,1,1724.3333333333333,23030,0,Budget Conscious,0,0,2,0,0,0.26281244,374998.6323079892,-41451.36769201083,False,False
CUST00045,Indian,Fleet,Low,76,0.2,Lexus,RX350,Premium,2022,V6,Petrol,White,330642,2022-06-18,Showroom,8,304190.64,Cash,180699,87,Slow-Moving,0.16,96219,1771,Highway,2022-11-07,8,3531,43,Out of Warranty,10906,4541,538650,1300,1158,4,0,1211.7777777777778,15447,3,Service Champions,0,1,1,1,0,0.19793767,365881.0333597918,-172768.9666402082,False,False
CUST00046,Egyptian,Corporate,Low,97,0.38,BMW,X5,Platinum,2022,V6,Petrol,Black,438909,2022-10-07,Online,2,430130.82,Cash,290898,80,Slow-Moving,0.12,32936,3207,Mixed,2024-06-13,7,3740,98,Under Warranty,21893,12967,228443,1189,574,4,1,2736.625,34860,4,VIP Elite,1,0,0,1,0,0.3228628,275062.4851771559,46619.485177155875,False,False
CUST00047,Filipino,Corporate,Low,78,0.35,Toyota,Land Cruiser,Premium,2021,Inline-4,Petrol,White,105647,2022-08-23,Fleet Sales,3,102477.59,Lease,29266,74,Slow-Moving,0.23,36377,3472,Mixed,2023-02-07,5,3206,101,Under Warranty,7300,7455,527405,1234,1066,5,1,1216.6666666666667,14755,1,Premium Loyalists,0,4,0,1,0,0.22188994,383021.952841396,-144383.04715860402,False,False
CUST00048,Indian,Corporate,High,84,0.29,Lexus,LX600,Base,2024,V6,Hybrid,Blue,148170,2023-09-16,Showroom,1,146688.3,Lease,56530,140,Fast-Moving,0.22,46296,2045,City,2024-03-05,4,2872,45,Out of Warranty,14945,9015,287345,845,674,2,0,2989.0,23960,4,VIP Elite,0,1,0,0,0,0.20142631,356826.21885165205,69481.21885165205,False,False
CUST00049,British,Individual,High,49,0.2,Mercedes,E-Class,Mid,2022,V6,Petrol,White,392692,2024-05-26,Fleet Sales,1,388765.08,Lease,63929,101,Slow-Moving,0.12,100084,1090,Highway,2026-04-13,0,3900,11,Out of Warranty,6535,13407,378125,592,-95,4,0,6535.0,19942,0,Budget Conscious,0,2,2,0,0,0.045897588,339901.5505001812,-38223.44949981879,False,True
CUST00050,Pakistani,Fleet,Medium,61,0.32,BMW,X5,Base,2023,Inline-4,Hybrid,Black,446725,2024-01-25,Fleet Sales,1,442257.75,Bank Loan,196082,103,Slow-Moving,0.25,46159,667,Highway,2024-11-27,2,1530,113,Under Warranty,17468,1646,186678,714,407,3,1,5822.666666666667,19114,0,Budget Conscious,0,0,1,2,0,0.31405795,343641.4743021904,156963.4743021904,False,False
CUST00051,Qatari,Corporate,Medium,98,0.2,Mercedes,G-Class,Platinum,2024,V8,Hybrid,White,377572,2022-08-26,Online,1,373796.28,Lease,238838,99,Slow-Moving,0.25,107036,5751,City,2023-03-25,2,2572,39,Under Warranty,555,8064,131184,1231,1020,2,1,185.0,8619,2,High-Risk Churners,0,2,0,2,0,0.18115431,339402.3226851393,208218.3226851393,False,False
CUST00052,Jordanian,Fleet,High,50,0.23,Toyota,Camry,Platinum,2024,Inline-4,Petrol,Blue,265989,2023-08-28,Showroom,6,250029.66,Bank Loan,157657,48,Slow-Moving,0.23,8055,2899,Highway,2024-09-28,2,2527,110,Out of Warranty,14377,11358,182382,864,467,2,0,4792.333333333333,25735,0,Budget Conscious,0,4,1,0,0,0.19127668,328766.46802718967,146384.46802718967,False,False
CUST00053,Jordanian,Individual,Low,100,0.28,Toyota,Camry,Mid,2024,V6,Petrol,White,267558,2022-01-04,Showroom,5,254180.1,Bank Loan,82923,68,Medium-Moving,0.12,117714,2595,Mixed,2023-11-21,5,2593,8,Under Warranty,4193,13452,452252,1465,779,2,1,698.8333333333334,17645,4,VIP Elite,0,4,2,1,0,0.20673,367992.3398682706,-84259.66013172938,False,True
CUST00054,Indian,Corporate,High,68,0.13,Toyota,Corolla,Mid,2024,V6,Hybrid,Blue,424032,2023-10-08,Online,8,390109.44,Cash,79280,53,Fast-Moving,0.18,58657,3680,City,2024-10-19,6,1229,25,Under Warranty,22822,9411,356572,823,446,2,1,3260.285714285714,32233,2,High-Risk Churners,0,4,0,0,0,0.24520889,347192.06535515975,-9379.93464484025,False,True
CUST00055,British,Fleet,Medium,66,0.22,Nissan,Altima,Premium,2023,V8,Petrol,Blue,135083,2023-10-03,Fleet Sales,6,126978.02,Cash,4771,139,Medium-Moving,0.17,100331,2223,Mixed,2023-11-25,0,2165,50,Under Warranty,20669,14476,574085,828,775,3,1,20669.0,35145,3,Service Champions,0,3,1,2,0,0.16439036,375297.0935714278,-198787.9064285722,False,False
CUST00056,Egyptian,Individual,Medium,72,0.34,BMW,X5,Premium,2023,V8,Hybrid,Blue,414810,2022-05-29,Fleet Sales,5,394069.5,Bank Loan,313171,103,Medium-Moving,0.21,52163,3837,Mixed,2022-09-26,4,2477,10,Out of Warranty,24877,994,588572,1320,1200,3,0,4975.4,25871,1,Premium Loyalists,0,0,2,2,0,0.20726168,349188.27585009456,-239383.72414990544,False,True
CUST00057,British,Individual,High,68,0.09,Nissan,Patrol,Mid,2023,V6,Petrol,Black,303084,2022-04-16,Online,6,284898.96,Lease,11702,87,Fast-Moving,0.12,89043,1120,Highway,2023-09-10,3,2126,74,Under Warranty,20845,7022,125479,1363,851,3,1,5211.25,27867,0,Budget Conscious,0,3,2,0,0,0.31030843,317641.5351333527,192162.53513335268,False,False
CUST00058,Pakistani,Corporate,Medium,93,0.19,Mercedes,G-Class,Platinum,2021,V8,Hybrid,Black,88438,2022-01-14,Online,1,87553.62,Cash,67104,147,Medium-Moving,0.19,110760,3431,Highway,2023-11-11,3,2289,75,Out of Warranty,15045,580,370093,1455,789,5,0,3761.25,15625,3,Service Champions,0,2,0,2,0,0.19297324,353891.560645075,-16201.439354925009,False,False
CUST00059,Jordanian,Individual,Medium,77,0.29,BMW,X7,Platinum,2022,V6,Petrol,Blue,363096,2023-06-29,Fleet Sales,2,355834.08,Lease,192953,169,Medium-Moving,0.12,7842,3996,City,2025-02-14,7,2856,120,Under Warranty,1387,12566,277604,924,328,4,1,173.375,13953,2,High-Risk Churners,0,0,2,2,0,0.15022953,338625.4853173904,61021.48531739041,False,False
CUST00060,Indian,Individual,High,87,0.22,Nissan,Altima,Mid,2022,V6,Hybrid,Black,221414,2022-06-22,Online,3,214771.58,Lease,83475,45,Medium-Moving,0.19,11590,564,City,2023-10-19,1,2127,64,Under Warranty,15027,14672,266289,1296,812,4,1,7513.5,29699,4,VIP Elite,0,3,2,0,0,0.14622898,319390.6854567425,53101.685456742474,False,False
CUST00061,Jordanian,Fleet,High,99,0.08,BMW,X5,Mid,2024,Inline-4,Hybrid,Silver,326097,2023-09-04,Online,3,316314.09,Lease,202037,72,Slow-Moving,0.19,9525,5216,City,2025-02-04,1,2657,7,Under Warranty,9502,14887,322686,857,338,2,1,4751.0,24389,2,High-Risk Churners,0,0,1,0,0,0.14931875,299284.2362654869,-23401.76373451308,False,True
CUST00062,Pakistani,Individual,High,45,0.12,Mercedes,E-Class,Base,2024,V8,Hybrid,Black,217869,2023-04-24,Online,7,202618.17,Cash,93566,164,Fast-Moving,0.14,110386,2167,Mixed,2024-11-30,1,2365,50,Under Warranty,10894,9122,476905,990,404,2,1,5447.0,20016,0,Budget Conscious,0,2,2,0,0,0.17340949,325095.2577160567,-151809.74228394328,False,False
CUST00063,Egyptian,Corporate,Medium,77,0.21,BMW,X7,Mid,2021,V8,Petrol,Silver,437539,2022-02-01,Fleet Sales,2,428788.22,Cash,248608,116,Medium-Moving,0.08,67596,4125,Highway,2023-11-06,1,2689,75,Out of Warranty,1188,11819,580410,1437,794,5,0,594.0,13007,3,Service Champions,0,0,0,2,0,0.26714855,367313.2684222157,-213096.7315777843,False,False
CUST00064,Filipino,Fleet,High,83,0.15,Lexus,LX600,Premium,2024,V8,Hybrid,Blue,258923,2024-03-10,Fleet Sales,4,248566.08,Lease,110957,137,Fast-Moving,0.1,72196,1827,City,2024-07-14,6,3512,83,Under Warranty,16646,3099,405581,669,543,2,1,2378.0,19745,3,Service Champions,0,1,1,0,0,0.25556538,352148.1450509566,-53432.85494904342,False,False
CUST00065,British,Corporate,High,46,0.28,Nissan,Altima,Base,2021,V6,Petrol,Blue,154844,2023-05-28,Online,0,154844.0,Bank Loan,11386,121,Medium-Moving,0.2,14384,2947,Highway,2023-08-08,2,3023,104,Out of Warranty,250,2599,488752,956,884,5,0,83.33333333333333,2849,1,Premium Loyalists,0,3,0,0,0,0.24896982,378065.7939901749,-110686.20600982511,False,False
CUST00066,Qatari,Corporate,High,47,0.38,Toyota,Corolla,Mid,2024,Inline-4,Hybrid,Blue,225063,2023-10-06,Online,7,209308.59,Bank Loan,65895,129,Slow-Moving,0.11,20624,2422,Highway,2024-07-03,7,1476,44,Out of Warranty,18772,14548,529454,825,554,2,0,2346.5,33320,1,Premium Loyalists,1,4,0,0,0,0.31315857,375987.8667937958,-153466.13320620422,False,False
